Review,Palabras,Lemma,Class
"La primera noche nos encontramos en la habitación con un nido (5) de cucarachas muertas y la alfombra muy sucia...que por cierto nunca limpiaron hasta que reclamamos.  La cena de fin de año fue un bufete que acabó en un tremendo desorden por el excesivo número de mesas vendidas, no se podía caminar para ir a servirte la comida, para luego encontrarte con bandejas vacías,  mi esposa y yo y otra pareja ""NO CENAMOS"" porque nos encontramos con puras bandejas vacías!!...pagamos $2800 pesos por por pareja por nada!!!  El servicio del restaurante pesimo, pesimo,pesimo....se tardaron muchísimo tiempo en atendernos, nos trajeron el desayuno en partes, nunca nos dieron el café que pedimos desde que llegamos....un pésimo servicio  El frigobar vacío y después de reclamar lo surtieron pero_x0085_","['La', 'primera', 'noche', 'nos', 'encontramos', 'en', 'la', 'habitación', 'con', 'un', 'nido', '(', '5', ')', 'de', 'cucarachas', 'muertas', 'y', 'la', 'alfombra', 'muy', 'sucia', '...', 'que', 'por', 'cierto', 'nunca', 'limpiaron', 'hasta', 'que', 'reclamamos', '.', 'La', 'cena', 'de', 'fin', 'de', 'año', 'fue', 'un', 'bufete', 'que', 'acabó', 'en', 'un', 'tremendo', 'desorden', 'por', 'el', 'excesivo', 'número', 'de', 'mesas', 'vendidas', ',', 'no', 'se', 'podía', 'caminar', 'para', 'ir', 'a', 'servirte', 'la', 'comida', ',', 'para', 'luego', 'encontrarte', 'con', 'bandejas', 'vacías', ',', 'mi', 'esposa', 'y', 'yo', 'y', 'otra', 'pareja', '``', 'NO', 'CENAMOS', ""''"", 'porque', 'nos', 'encontramos', 'con', 'puras', 'bandejas', 'vacías', '!', '!', '...', 'pagamos', '$', '2800', 'pesos', 'por', 'por', 'pareja', 'por', 'nada', '!', '!', '!', 'El', 'servicio', 'del', 'restaurante', 'pesimo', ',', 'pesimo', ',', 'pesimo', '....', 'se', 'tardaron', 'muchísimo', 'tiempo', 'en', 'atendernos', ',', 'nos', 'trajeron', 'el', 'desayuno', 'en', 'partes', ',', 'nunca', 'nos', 'dieron', 'el', 'café', 'que', 'pedimos', 'desde', 'que', 'llegamos', '....', 'un', 'pésimo', 'servicio', 'El', 'frigobar', 'vacío', 'y', 'después', 'de', 'reclamar', 'lo', 'surtieron', 'pero_x0085_']","el primero noche yo encontrar en el habitación con uno nido ( 5 ) de cucaracha muerto y el alfombra mucho sucio ... que por cierto nunca limpiar hasta que reclamar . el cena de fin de año ser uno bufete que acabar en uno tremendo desorden por el excesivo número de mesa vendido , no él poder caminar para ir a servirte el comida , para luego encontrarte con bandeja vacío , mi esposa y yo y otro pareja ` ` no cenamos '' porque yo encontrar con pura bandeja vacío ! ! ... pagar $ 2800 peso por por pareja por nada ! ! ! el servicio del restaurante pesimo , pesimo , pesimo .... él tardar muchísimo tiempo en atenderno , yo traer el desayuno en parte , nunca yo dar el café que pedir desde que llegar .... uno pésimo servicio el frigobar vacío y después de reclamar él surtir pero_x0085 _",1
"A una calle de catedral con platillos tradicionales, tipo Gourmet, de buen sabor y calidad.
Si bien ofrecen una carta con los platillos más representativos de cada temporada como mole de caderas, poblano, chinicuiles, chiles en nogada, escamoles y cemitas; son principalmente para degustación, no...Más","['A', 'una', 'calle', 'de', 'catedral', 'con', 'platillos', 'tradicionales', ',', 'tipo', 'Gourmet', ',', 'de', 'buen', 'sabor', 'y', 'calidad', '.', 'Si', 'bien', 'ofrecen', 'una', 'carta', 'con', 'los', 'platillos', 'más', 'representativos', 'de', 'cada', 'temporada', 'como', 'mole', 'de', 'caderas', ',', 'poblano', ',', 'chinicuiles', ',', 'chiles', 'en', 'nogada', ',', 'escamoles', 'y', 'cemitas', ';', 'son', 'principalmente', 'para', 'degustación', ',', 'no', '...', 'Más']","a uno calle de catedral con platillo tradicional , tipo Gourmet , de buen sabor y calidad . si bien ofrecer uno carta con el platillo más representativo de cada temporada como mo él de cadera , poblano , chinicuil , chil en nogada , escamol y cemita ; ser principalmente para degustación , no ... más",4
"Porciones muy miserables
Agua con sabor a cloro 
Muy distraídos los meseros 
No llena las expectativas
Hay mejores opciones","['Porciones', 'muy', 'miserables', 'Agua', 'con', 'sabor', 'a', 'cloro', 'Muy', 'distraídos', 'los', 'meseros', 'No', 'llena', 'las', 'expectativas', 'Hay', 'mejores', 'opciones']",Porciones mucho miserable agua con sabor a cloro mucho distraído el mesero no llenar el expectativa haber mejor opción,2
"Cartagena encanta. De todas las ciudades coloniales que hemos visitado es la más linda y mejor conservada. Recomiendo recorrerla tanto de día como de noche ya que son visiones distintas que vale la pena vivir. Llena de vida, tiendas, restaurantes, colorida, vibrante, calles y rincones que en cada momento guardan una sorpresa. Mi calificación habría sido excelente sino fuera por algunos detalles que deberían mejorar. Lamentablemente falta preocupación por la limpieza de las calles (problema que se repite en el resto de la ciudad) y un mejoramiento en los alcantarillados de las aguas servidas. Además por la estrechez de las calles deberían habilitar vías exclusivas para peatones.","['Cartagena', 'encanta', '.', 'De', 'todas', 'las', 'ciudades', 'coloniales', 'que', 'hemos', 'visitado', 'es', 'la', 'más', 'linda', 'y', 'mejor', 'conservada', '.', 'Recomiendo', 'recorrerla', 'tanto', 'de', 'día', 'como', 'de', 'noche', 'ya', 'que', 'son', 'visiones', 'distintas', 'que', 'vale', 'la', 'pena', 'vivir', '.', 'Llena', 'de', 'vida', ',', 'tiendas', ',', 'restaurantes', ',', 'colorida', ',', 'vibrante', ',', 'calles', 'y', 'rincones', 'que', 'en', 'cada', 'momento', 'guardan', 'una', 'sorpresa', '.', 'Mi', 'calificación', 'habría', 'sido', 'excelente', 'sino', 'fuera', 'por', 'algunos', 'detalles', 'que', 'deberían', 'mejorar', '.', 'Lamentablemente', 'falta', 'preocupación', 'por', 'la', 'limpieza', 'de', 'las', 'calles', '(', 'problema', 'que', 'se', 'repite', 'en', 'el', 'resto', 'de', 'la', 'ciudad', ')', 'y', 'un', 'mejoramiento', 'en', 'los', 'alcantarillados', 'de', 'las', 'aguas', 'servidas', '.', 'Además', 'por', 'la', 'estrechez', 'de', 'las', 'calles', 'deberían', 'habilitar', 'vías', 'exclusivas', 'para', 'peatones', '.']","Cartagena encantar . de todo el ciudad colonial que haber visitar ser el más lindo y mejor conservado . recomeir recorrer él tanto de día como de noche ya que ser visión distinto que valer el pena vivir . Llena de vida , tienda , restaurante , colorido , vibrante , calle y rincón que en cada momento guardar uno sorpresa . mi calificación haber ser excelente sino fuera por alguno detalle que deber mejorar . lamentablemente faltar preocupación por el limpieza de el calle ( problema que él repetir en el resto de el ciudad ) y uno mejoramiento en el alcantarillado de el agua servida . además por el estrechez de el calle deber habilitar vía exclusivo para peatón .",4
"Ibamos con mucha ilusion de disfrutar el espectaculo de luz y sonido pero la verdad nos decepcionó,te ubican en una esquina a la entrada de las ruinas,y no al centro por lo que no puedes apreciar casi nada,las personas se paran a tomar fotografias debido a que no se alcanza a ver nada si estas sentado,al inicio y al final del espectaculo no dejan prendidas las luces para que puedas tomar fotografias, al contrario queda todo en obscuridad y las personas de la tercera edad tiene problemas para salir pues no iluminan ni el camino para salida, deberian poner aunque sea unas antorchas para iluminar,la verdad no lo recomiendo es una pena que una maravilla como lo es chichen itza tenga un espectaculo tan carente .","['Ibamos', 'con', 'mucha', 'ilusion', 'de', 'disfrutar', 'el', 'espectaculo', 'de', 'luz', 'y', 'sonido', 'pero', 'la', 'verdad', 'nos', 'decepcionó', ',', 'te', 'ubican', 'en', 'una', 'esquina', 'a', 'la', 'entrada', 'de', 'las', 'ruinas', ',', 'y', 'no', 'al', 'centro', 'por', 'lo', 'que', 'no', 'puedes', 'apreciar', 'casi', 'nada', ',', 'las', 'personas', 'se', 'paran', 'a', 'tomar', 'fotografias', 'debido', 'a', 'que', 'no', 'se', 'alcanza', 'a', 'ver', 'nada', 'si', 'estas', 'sentado', ',', 'al', 'inicio', 'y', 'al', 'final', 'del', 'espectaculo', 'no', 'dejan', 'prendidas', 'las', 'luces', 'para', 'que', 'puedas', 'tomar', 'fotografias', ',', 'al', 'contrario', 'queda', 'todo', 'en', 'obscuridad', 'y', 'las', 'personas', 'de', 'la', 'tercera', 'edad', 'tiene', 'problemas', 'para', 'salir', 'pues', 'no', 'iluminan', 'ni', 'el', 'camino', 'para', 'salida', ',', 'deberian', 'poner', 'aunque', 'sea', 'unas', 'antorchas', 'para', 'iluminar', ',', 'la', 'verdad', 'no', 'lo', 'recomiendo', 'es', 'una', 'pena', 'que', 'una', 'maravilla', 'como', 'lo', 'es', 'chichen', 'itza', 'tenga', 'un', 'espectaculo', 'tan', 'carente', '.']","ibamos con mucho ilusion de disfrutar el espectaculo de luz y sonido pero el verdad yo decepcionar , tú ubicar en uno esquina a el entrada de el ruina , y no al centro por él que no poder apreciar casi nada , el persona él parar a tomar fotografia debido a que no él alcanzar a ver nada si este sentado , al inicio y al final del espectaculo no dejar prendida el luz para que poder tomar fotografia , al contrario quedar todo en obscuridad y el persona de el tercero edad tener problema para salir pues no iluminar ni el camino para salida , deberiar poner aunque ser uno antorcha para iluminar , el verdad no él recomeir ser uno pena que uno maravilla como él ser chichar itza tener uno espectaculo tanto carente .",3
"el sábado 12 de 11 del 2016.
desde que llegas el personal tiene el peor trato, no saben ingles. y al parecer tampoco españold, 5 veces me preguntaron si mi reservacion era alli, como si despues de la 3 o 4 vez que me preguntaron mi respuesta seria diferente. por mas que les comprobe con boucher, intinerario y pago, no sabian en donde estaba mi reservacion, y decian que era hasta dentro de un mes, obvio fue error de ellos, pero nunca lo admitieron. Llegue a las 12 pm y no me encontraron habitacion hasta la 1pm, prometieron tenerla antes y no fue hasta despues de las 3 pm debido a la ocupacion que tenian, el hotel y los precios son de lujo pero el trato es de lo peor. tuve que hablar con 3 recepcionistas y nadie podia hacer nada. el gerente nunca llego, el supervisor nunca aparecio. y simplemente volteaban para otro lado cada ves que les poreguntaba por mi habitacion. practicamente 4 horas perdidas de mi dia, que no se pudo recuperar. en los restaurantes los meseros, sobretodo la mañana volteaban para otro lado al momento de pedir servcio, por mas desocupado que estaba el lugar no ofrecian ni una mesa, pero si ven a un estado unidense pasar hasta alfombra roja le tendian, no entiendo por que en este pasi en esta zona en especial hay tan mal trato a sus propios paisanos.
totalmente desagradable mi experiencia en este hotel. nada recomendable si eres de mexico.
Y NO HAY PLAYA COMO LO DICE EN INTERNET. TE TIENEN QUE TRASLADAR A EL OTRO HOTEL PARA ESO.....","['el', 'sábado', '12', 'de', '11', 'del', '2016.', 'desde', 'que', 'llegas', 'el', 'personal', 'tiene', 'el', 'peor', 'trato', ',', 'no', 'saben', 'ingles', '.', 'y', 'al', 'parecer', 'tampoco', 'españold', ',', '5', 'veces', 'me', 'preguntaron', 'si', 'mi', 'reservacion', 'era', 'alli', ',', 'como', 'si', 'despues', 'de', 'la', '3', 'o', '4', 'vez', 'que', 'me', 'preguntaron', 'mi', 'respuesta', 'seria', 'diferente', '.', 'por', 'mas', 'que', 'les', 'comprobe', 'con', 'boucher', ',', 'intinerario', 'y', 'pago', ',', 'no', 'sabian', 'en', 'donde', 'estaba', 'mi', 'reservacion', ',', 'y', 'decian', 'que', 'era', 'hasta', 'dentro', 'de', 'un', 'mes', ',', 'obvio', 'fue', 'error', 'de', 'ellos', ',', 'pero', 'nunca', 'lo', 'admitieron', '.', 'Llegue', 'a', 'las', '12', 'pm', 'y', 'no', 'me', 'encontraron', 'habitacion', 'hasta', 'la', '1pm', ',', 'prometieron', 'tenerla', 'antes', 'y', 'no', 'fue', 'hasta', 'despues', 'de', 'las', '3', 'pm', 'debido', 'a', 'la', 'ocupacion', 'que', 'tenian', ',', 'el', 'hotel', 'y', 'los', 'precios', 'son', 'de', 'lujo', 'pero', 'el', 'trato', 'es', 'de', 'lo', 'peor', '.', 'tuve', 'que', 'hablar', 'con', '3', 'recepcionistas', 'y', 'nadie', 'podia', 'hacer', 'nada', '.', 'el', 'gerente', 'nunca', 'llego', ',', 'el', 'supervisor', 'nunca', 'aparecio', '.', 'y', 'simplemente', 'volteaban', 'para', 'otro', 'lado', 'cada', 'ves', 'que', 'les', 'poreguntaba', 'por', 'mi', 'habitacion', '.', 'practicamente', '4', 'horas', 'perdidas', 'de', 'mi', 'dia', ',', 'que', 'no', 'se', 'pudo', 'recuperar', '.', 'en', 'los', 'restaurantes', 'los', 'meseros', ',', 'sobretodo', 'la', 'mañana', 'volteaban', 'para', 'otro', 'lado', 'al', 'momento', 'de', 'pedir', 'servcio', ',', 'por', 'mas', 'desocupado', 'que', 'estaba', 'el', 'lugar', 'no', 'ofrecian', 'ni', 'una', 'mesa', ',', 'pero', 'si', 'ven', 'a', 'un', 'estado', 'unidense', 'pasar', 'hasta', 'alfombra', 'roja', 'le', 'tendian', ',', 'no', 'entiendo', 'por', 'que', 'en', 'este', 'pasi', 'en', 'esta', 'zona', 'en', 'especial', 'hay', 'tan', 'mal', 'trato', 'a', 'sus', 'propios', 'paisanos', '.', 'totalmente', 'desagradable', 'mi', 'experiencia', 'en', 'este', 'hotel', '.', 'nada', 'recomendable', 'si', 'eres', 'de', 'mexico', '.', 'Y', 'NO', 'HAY', 'PLAYA', 'COMO', 'LO', 'DICE', 'EN', 'INTERNET', '.', 'TE', 'TIENEN', 'QUE', 'TRASLADAR', 'A', 'EL', 'OTRO', 'HOTEL', 'PARA', 'ESO', '.....']","el sábado 12 de 11 del 2016 . desde que llegar el personal tener el peor trato , no saber ingl . y al parecer tampoco españold , 5 vez yo preguntar si mi reservacion ser alli , como si despues de el 3 o 4 vez que yo preguntar mi respuesta serio diferente . por mas que él comprobe con boucher , intinerario y pago , no sabiar en donde estar mi reservacion , y deciar que ser hasta dentro de uno mes , obvio ser error de él , pero nunca él admitir . llegar a el 12 pm y no yo encontrar habitacion hasta el 1 pm , prometer tener él antes y no ser hasta despues de el 3 pm debido a el ocupacion que teniar , el hotel y el precio ser de lujo pero el trato ser de él peor . tener que hablar con 3 recepcionista y nadie podiar hacer nada . el gerente nunca llego , el supervisor nunca aparecio . y simplemente voltear para otro lado cada ves que él poreguntar por mi habitacion . practicamente 4 hora perdido de mi dia , que no él poder recuperar . en el restaurante el mesero , sobretodo el mañana voltear para otro lado al momento de pedir servcio , por mas desocupado que estar el lugar no ofreciar ni uno mesa , pero si ver a uno estado unidense pasar hasta alfombra rojo él tendiar , no entender por que en este pasi en este zona en especial haber tanto mal trato a su propio paisano . totalmente desagradable mi experiencia en este hotel . nada recomendable si ser de mexico . y no hay playa COMO él decir EN INTERNET . tú tienen que trasladar A el OTRO HOTEL PARA ESO .....",1
"Excelente hotel, Muchas atracciones a su alrededor, habitaciones muy comodas y limpias, En el lobby del hotel siempre hay Cafe o algun tipo de jugo para los huespedes, el personal es de lo mejor, todos muy amables, cuando regrese a merida siempre sera mi casa. todo el personal, desde la chica que limpia hasta el manager del hotel siempre estan dispuestos a ayudar a los huespedes. Mil gracias por todas las atenciones. Siempre recomendare este hotel  John Velez","['Excelente', 'hotel', ',', 'Muchas', 'atracciones', 'a', 'su', 'alrededor', ',', 'habitaciones', 'muy', 'comodas', 'y', 'limpias', ',', 'En', 'el', 'lobby', 'del', 'hotel', 'siempre', 'hay', 'Cafe', 'o', 'algun', 'tipo', 'de', 'jugo', 'para', 'los', 'huespedes', ',', 'el', 'personal', 'es', 'de', 'lo', 'mejor', ',', 'todos', 'muy', 'amables', ',', 'cuando', 'regrese', 'a', 'merida', 'siempre', 'sera', 'mi', 'casa', '.', 'todo', 'el', 'personal', ',', 'desde', 'la', 'chica', 'que', 'limpia', 'hasta', 'el', 'manager', 'del', 'hotel', 'siempre', 'estan', 'dispuestos', 'a', 'ayudar', 'a', 'los', 'huespedes', '.', 'Mil', 'gracias', 'por', 'todas', 'las', 'atenciones', '.', 'Siempre', 'recomendare', 'este', 'hotel', 'John', 'Velez']","excelente hotel , mucho atracción a su alrededor , habitación mucho comoda y limpio , En el lobby del hotel siempre haber Cafe o algun tipo de jugo para el huesped , el personal ser de él mejor , todo mucho amable , cuando regresar a merida siempre sera mi casa . todo el personal , desde el chica que limpiar hasta el manager del hotel siempre estar dispuesto a ayudar a el huesped . mil gracia por todo el atención . siempre recomendarar este hotel John Velez",5
"Ayer fui con unas amigas a cenar, vivimos aquí en Vallarta, como no somos turistas nos trataron muy mal (aunque vestíamos mejor que ellos), desde la chica que recibe en la entrada nos trató fatal, aunque la comida estaba bien, no nos hicieron el show de flambeado en las fajitas en nuestra presencia como se lo hicieron a todos los turistas que estaban a nuestro alrededor, además al preguntarle al mesero nos dicen que si se hizo, nos vieron cara de tontas y nos dicen mentira, pues ninguna de nosotras lo vió hacer, es más el plato no estaba tan caliente como debía estarlo si se hubiese hecho en el momento, la verdad no provocaba dejar propina, sin embargo lo hicimos, mi pregunta es, será que piensan que no podemos pagar? , lo que yo si se, es que no vuelvo, quería ir con mi esposo pero ya se me quitaron las ganas.","['Ayer', 'fui', 'con', 'unas', 'amigas', 'a', 'cenar', ',', 'vivimos', 'aquí', 'en', 'Vallarta', ',', 'como', 'no', 'somos', 'turistas', 'nos', 'trataron', 'muy', 'mal', '(', 'aunque', 'vestíamos', 'mejor', 'que', 'ellos', ')', ',', 'desde', 'la', 'chica', 'que', 'recibe', 'en', 'la', 'entrada', 'nos', 'trató', 'fatal', ',', 'aunque', 'la', 'comida', 'estaba', 'bien', ',', 'no', 'nos', 'hicieron', 'el', 'show', 'de', 'flambeado', 'en', 'las', 'fajitas', 'en', 'nuestra', 'presencia', 'como', 'se', 'lo', 'hicieron', 'a', 'todos', 'los', 'turistas', 'que', 'estaban', 'a', 'nuestro', 'alrededor', ',', 'además', 'al', 'preguntarle', 'al', 'mesero', 'nos', 'dicen', 'que', 'si', 'se', 'hizo', ',', 'nos', 'vieron', 'cara', 'de', 'tontas', 'y', 'nos', 'dicen', 'mentira', ',', 'pues', 'ninguna', 'de', 'nosotras', 'lo', 'vió', 'hacer', ',', 'es', 'más', 'el', 'plato', 'no', 'estaba', 'tan', 'caliente', 'como', 'debía', 'estarlo', 'si', 'se', 'hubiese', 'hecho', 'en', 'el', 'momento', ',', 'la', 'verdad', 'no', 'provocaba', 'dejar', 'propina', ',', 'sin', 'embargo', 'lo', 'hicimos', ',', 'mi', 'pregunta', 'es', ',', 'será', 'que', 'piensan', 'que', 'no', 'podemos', 'pagar', '?', ',', 'lo', 'que', 'yo', 'si', 'se', ',', 'es', 'que', 'no', 'vuelvo', ',', 'quería', 'ir', 'con', 'mi', 'esposo', 'pero', 'ya', 'se', 'me', 'quitaron', 'las', 'ganas', '.']","ayer ir con uno amiga a cenar , vivir aquí en Vallarta , como no ser turista yo tratar mucho mal ( aunque vestíar mejor que él ) , desde el chica que recibir en el entrada yo tratar fatal , aunque el comida estar bien , no yo hacer el show de flambeado en el fajita en nuestro presencia como él él hacer a todo el turista que estar a nuestro alrededor , además al preguntar él al mesero yo decir que si él hacer , yo ver cara de tonta y yo decir mentira , pues ninguno de nosotra él ver hacer , ser más el plato no estar tanto caliente como deber estar él si él haber hacer en el momento , el verdad no provocar dejar propina , sin embargo él hacer , mi pregunta ser , ser que pensar que no poder pagar ? , él que yo si él , ser que no volver , querer ir con mi esposo pero ya él yo quitar el gana .",2
"El personal de recepción es grosero y desinteresado. Pero las camareras, camareros y todo el personal era fabuloso. El hotel es precioso, pero las instalaciones y accesorios se caen a pedazos como es la Habana. Necesidades de un millón de dólares para poner justo. Mi limpieza Carlos era genial y me dejaron toallas modelos cada día. me hubiera gustado ver fotos de. Los coches clásicos, ver en fotos son un mito. Son realmente cubos de óxido. Cuba es el lugar más caro que he visitado. Ten cuidado. Todo cuesta!!!.  Incluso lindas fotos si trad vestidas con gente en la calle a tomar fotos.estoy casi 60 y nunca volver de nuevo en mi vida porque le llevará 10 años y miles de millones de dólares para restaurar esta ciudad beautifil","['El', 'personal', 'de', 'recepción', 'es', 'grosero', 'y', 'desinteresado', '.', 'Pero', 'las', 'camareras', ',', 'camareros', 'y', 'todo', 'el', 'personal', 'era', 'fabuloso', '.', 'El', 'hotel', 'es', 'precioso', ',', 'pero', 'las', 'instalaciones', 'y', 'accesorios', 'se', 'caen', 'a', 'pedazos', 'como', 'es', 'la', 'Habana', '.', 'Necesidades', 'de', 'un', 'millón', 'de', 'dólares', 'para', 'poner', 'justo', '.', 'Mi', 'limpieza', 'Carlos', 'era', 'genial', 'y', 'me', 'dejaron', 'toallas', 'modelos', 'cada', 'día', '.', 'me', 'hubiera', 'gustado', 'ver', 'fotos', 'de', '.', 'Los', 'coches', 'clásicos', ',', 'ver', 'en', 'fotos', 'son', 'un', 'mito', '.', 'Son', 'realmente', 'cubos', 'de', 'óxido', '.', 'Cuba', 'es', 'el', 'lugar', 'más', 'caro', 'que', 'he', 'visitado', '.', 'Ten', 'cuidado', '.', 'Todo', 'cuesta', '!', '!', '!', '.', 'Incluso', 'lindas', 'fotos', 'si', 'trad', 'vestidas', 'con', 'gente', 'en', 'la', 'calle', 'a', 'tomar', 'fotos.estoy', 'casi', '60', 'y', 'nunca', 'volver', 'de', 'nuevo', 'en', 'mi', 'vida', 'porque', 'le', 'llevará', '10', 'años', 'y', 'miles', 'de', 'millones', 'de', 'dólares', 'para', 'restaurar', 'esta', 'ciudad', 'beautifil']","el personal de recepción ser grosero y desinteresado . pero el camarera , camarero y todo el personal ser fabuloso . el hotel ser precioso , pero el instalación y accesorio él caer a pedazos como ser el Habana . necesidad de un millón de dólares para poner justo . mi limpieza Carlos ser genial y yo dejar toalla modelo cada día . yo haber gustar ver foto de . el coche clásico , ver en foto ser uno mito . ser realmente cubo de óxido . Cuba ser el lugar más caro que haber visitar . ten cuidado . todo costar ! ! ! . incluso lindo foto si trad vestido con gente en el calle a tomar fotos.estoy casi 60 y nunca volver de nuevo en mi vida porque él llevar 10 año y mil de millón de dólares para restaurar este ciudad beautifil",2
"bueno, barato, no es de lujo, perfecta ubicación para la vieja Habana y vistas increíbles. No esperes lujo, pero es un buen lugar para dormir, un buen desayuno y una impresionante vista del Malecón. estarás bien en un lugar que es como la Habana: no es nuevo, no son perfectas pero agradable. Me alojaría aquí de nuevo.","['bueno', ',', 'barato', ',', 'no', 'es', 'de', 'lujo', ',', 'perfecta', 'ubicación', 'para', 'la', 'vieja', 'Habana', 'y', 'vistas', 'increíbles', '.', 'No', 'esperes', 'lujo', ',', 'pero', 'es', 'un', 'buen', 'lugar', 'para', 'dormir', ',', 'un', 'buen', 'desayuno', 'y', 'una', 'impresionante', 'vista', 'del', 'Malecón', '.', 'estarás', 'bien', 'en', 'un', 'lugar', 'que', 'es', 'como', 'la', 'Habana', ':', 'no', 'es', 'nuevo', ',', 'no', 'son', 'perfectas', 'pero', 'agradable', '.', 'Me', 'alojaría', 'aquí', 'de', 'nuevo', '.']","bueno , barato , no ser de lujo , perfecto ubicación para el viejo Habana y vistos increíble . no esper lujo , pero ser uno buen lugar para dormir , uno buen desayuno y uno impresionante vista del Malecón . estar bien en uno lugar que ser como el Habana : no ser nuevo , no ser perfecto pero agradable . yo alojar aquí de nuevo .",4
