Review,Class
"Muy buena atención y aclaración de dudas por parte de la señorita Verónica castillo, atenta y amable en cuestión laborable.  Ideal para descansar muy buenas habitaciónes, limpieza, ordenadas.  Buena comida de parte del restaurante,variedad en comidas  ",5
"Buen hotel si están obligados a estar cerca del centro de convenciones, pero el restaurante necesita mejorar! Frío y café flojo - y - un montón de pan de personas que sirve unos uderstanding de bu lo que significa un servicio. En este barrio con tan pocas opciones - debería ser un hotel especial.",3
"Es un lugar muy lindo para fotografías, visiten Selina, música en vivo, cerveza artesanal y buena comida",5
Abusados con la factura de alimentos siempre se echan la culpa unos a otros van y buscan el rfc que les proporcionaste por que independisan la base que ya tienen registrada en alimentos con la base del check in y ya pasaron 3 dias y aun nadade mi factura aunque hables de larga distancia y queden formalmente fe enviartela en un momento no es asi mañana otra vez voy a tener que hablar y para colmo ni el ticket me dieron.,3
"Tuvimos un par de personas en el grupo que realmente queríamos comer cabrito, el resto de nosotros eran buenas con probarla. Servicio empezó realmente bien, hasta que llegamos a situar nuestros pedidos. Cuando le preguntamos acerca de cómo agregar o sustituir elementos el camarero casi...parecía molestarle y claro qué y cómo lo ve en el menú es la única opción. Aparte de eso, la comida y el ambiente donde genial!Más",3
Un complejo enorme de fortificaciones frente al antiguo de La Habana. Visité en un día cuando el otro lado del castillo era trincadas con agua elevándose a 20 metros o más desde el mar.,4
"Acabo de volver de Cuba. La primera semana en Tryp Habana libre y no puedo recomendar que a nadie. La primera imagen en el vestíbulo estaba bastante bien pero cuando salimos del ascensor en el piso, no pudimos evitar el olor a moho. Tras par de noche había una enorme fuga de agua en el baño y tuvimos que cambiar de habitación. La segunda habitación era tan fría que teníamos que llevar cordero grillada calcetines de lana y un suéter mientras duerme. Los recepcionistas eran todos antipático. El desayuno estaba bien, pero el piso 25 club nocturno terrible con banda ruidosa y mala. No bañados por ir a este hotel, que debe ser renovada completamente. Algo bueno? La vista ...",2
"Hola, estuve 4 noches 5 días, en este hotel, luego de haber estado tres noches en la ciudad amurallada, creo que fue la mejor combinación, hicimos esto, pues pensábamos que estaríamos todos los días dentro de la ciudad, pero por los foros, nos dimos cuenta que la cuidad no era para más de tres días, pero tampoco estaríamos tanto como para ir a san Andrés... a si que decidimos ir a un hotel que quedara cerca y que fuese todo incluido, con una habitación con jacuzzi, la cual no recomiendo, pues hay cero privacidad, el primer día llegamos y no había espuma de baño, o gel de ducha, pedimos y un funcionario pasó por el patio a nuestra terraza que estaba ahí mismo para preguntar que necesitábamos...yo me reí, pues...en realidad era gracioso... finalmente nunca llegó la espuma, según…",3
"Antes de salir de viaje, escuché opiniones negativas de la ciudad amurallada, que no pueden estar más alejadas de la realidad, es algo espectacular estar ahí y la comida es exelente",5
"Es imposible pasar por Monterrey y no subir. Las vistas son espectaculares, pero la visita al museo en si no me parecio algo para dedicarle mucho tiempo",3
